CEMETERY|SITECODE|PERIOD|LU_INT|E_DATE|L_DATE|SITECODE|CONTEXT|SEX|AGE|TRAIT_TYPE|GROUP|EXPANSION|VALUE
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10770|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Bone measurement|Ilium|Ilium Gsn Width L|17.1|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10770|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Bone measurement|Humerus|Humeral Width R|30.8|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10770|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Bone measurement|Radius|Radial Length R|97|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10770|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Bone measurement|Radius|Radial Length L|97|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10770|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Bone measurement|Ulna|Ulna Length R|106|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10770|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Bone measurement|Femur|Femoral Length R|166|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10770|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Bone measurement|Tibia|Tibial Length R|129|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10770|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Bone measurement|Tibia|Tibial Length L|129|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10770|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Bone measurement|Clavicle|Clavicle Length R|70.4|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|10856|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Gsn Diameter R|11.3|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|10856|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Gsn Diameter L|10.7|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|10856|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Humerus|Humeral Length L|182|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|10856|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Gsn Width L|24.8|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|10856|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Humerus|Humeral Width L|37.5|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|10856|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Radius|Radial Length R|144|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|10856|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Radius|Radial Length L|141|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|10856|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ulna|Ulna Length R|157|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|10856|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ulna|Ulna Length L|157|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|10856|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Femur|Femoral Length L|247|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|10856|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Femur|Femoral Width R|54.8|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|10856|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Femur|Femoral Width L|54.3|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|10856|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Tibia|Tibial Length L|208|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|10856|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Fibia|Fibular Length R|201|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|10856|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Gsn Width R|26.9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Gsn Diameter R|12.9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Gsn Diameter L|12.6|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Humerus|Humeral Length R|212|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Humerus|Humeral Length L|210|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Gsn Width L|33.1|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Humerus|Humeral Width R|40.4|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Humerus|Humeral Width L|39.7|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Radius|Radial Length R|156|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Radius|Radial Length L|155|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ulna|Ulna Length R|176|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ulna|Ulna Length L|172|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Femur|Femoral Length R|291|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Femur|Femoral Length L|295|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Femur|Femoral Width R|53.1|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Femur|Femoral Width L|53.3|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Tibia|Tibial Length L|230|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Fibia|Fibular Length L|224|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Clavicle|Clavicle Length R|97|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Clavicle|Clavicle Length L|98.1|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Max Length R|90.8|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Max Length L|92|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Max Width R|99.1|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Max Width L|100.5|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Gsn Width R|31.6|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Gsn Diameter R|13.7|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Gsn Diameter L|13.9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Gsn Width L|33.1|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Humerus|Humeral Width L|50.5|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Radius|Radial Length L|188|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ulna|Ulna Length R|208|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ulna|Ulna Length L|210|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Femur|Femoral Length R|347|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Femur|Femoral Length L|352|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Femur|Femoral Width R|68.3|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Tibia|Tibial Length R|290|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Tibia|Tibial Length L|289|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Fibia|Fibular Length R|279|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Fibia|Fibular Length L|278|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Max Length R|109|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Max Length L|110.5|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Max Width R|118.3|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Max Width L|121.6|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Gsn Width R|32.2|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13042|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Tibia|Tibial Length L|351|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13110|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Bone measurement|Femur|Femoral Length R|137|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13110|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Bone measurement|Femur|Femoral Width R|33.2|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13110|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Bone measurement|Tibia|Tibial Length R|115|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13209|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Radius|Radial Length L|179|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13316|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Gsn Diameter R|9.4|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13316|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Humerus|Humeral Length R|173|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13316|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Femur|Femoral Length R|233|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13316|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Tibia|Tibial Length R|181|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13316|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Clavicle|Clavicle Length R|89.7|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13316|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Gsn Width R|26.1|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20117|UNSEXED CHILD|SUB-ADULT 7-11 MONTHS|Bone measurement|Ilium|Ilium Gsn Diameter R|3.6|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20117|UNSEXED CHILD|SUB-ADULT 7-11 MONTHS|Bone measurement|Ilium|Ilium Gsn Diameter L|3.4|
